WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
94846;20070521;80;44;62;1;50;56;3;0;426;1910; ;0;M;0.0;0.00;29.33;30.06;6.3;11;8.2;24;100;18;110
94846;20070522;87;55;71;10;46;58;0;6;425;1911; ;0;M;0.0;0.00;29.34;30.06;10.0;18;10.2;28;180;22;180
94846;20070523;89;60;75;14;49;61;0;10;425;1912; ;0;M;0.0;0.00;29.39;30.10;11.4;19;11.8;33;200;26;210
94846;20070524;88;63;76;14;54;63;0;11;424;1913;RA HZ;0;M;0.0;0.02;29.41;30.11;14.9;21;17.3;41;190;35;190
94846;20070525;70;56;63;1;44;53;2;0;423;1914; ;0;M;0.0;  T;29.51;30.24;4.9;5;8.8;25;80;15;350
94846;20070526;65;49;57;-5;55;56;8;0;422;1915;TSRA RA BR HZ;0;M;0.0;1.01;29.36;30.11;2.8;17;7.2;21;70;13;210
94846;20070527;75;57;66;4;47;56;0;1;422;1916;RA BR;0;M;0.0;0.04;29.34;30.06;8.9;26;9.5;23;270;18;280
94846;20070528;79;50;65;2;47;56;0;0;421;1916;RA;0;M;0.0;  T;29.43;30.15;4.8;10;5.3;24;70;13;70
94846;20070529;88;60;74;10;58;65;0;9;421;1917;BR HZ;0;M;0.0;0.00;29.39;30.11;5.8;18;6.5;25;180;16;180
94846;20070530;87;66;77;13;58;65;0;12;420;1918;HZ;0;M;0.0;0.00;29.31;30.04;10.3;19;10.6;28;200;24;190
94846;20070531;78;65;72;8;61;65;0;7;420;1919;RA HZ;0;M;0.0;0.01;29.28;30.00;9.3;19;9.9;24;200;20;230
4838;20070601;84;63;74;M;63;66;0;9;-;-;BR HZ;M;M;M;0.32;29.23;29.92;2.5;17;4.5;28;270;21;260
4838;20070602;81;62;72;M;63;66;0;7;-;-;RA BR HZ;M;M;M;  T;29.07;29.78;5.0;23;5.5;22;220;17;250
4838;20070603;77;63;70;M;60;64;0;5;-;-;RA;M;M;M;  T;28.85;29.56;2.9;27;5.2;25;280;22;290
4838;20070604;68;58;63;M;58;60;2;0;-;-;RA BR VCTS;M;M;M;0.31;28.86;29.53;6.0;32;6.9;23;330;18;350
4838;20070605;62;46;54;M;48;51;11;0;-;-;RA BR;M;M;M;0.19;29.14;29.80;4.6;5;5.5;20;30;16;50
4838;20070606;72;43;58;M;47;55;7;0;-;-;RA;M;M;M;  T;29.11;29.83;8.7;17;9.2;22;170;18;160
4838;20070607;91;72;82;M;62;69;0;17;-;-; ;M;M;M;0.00;28.87;29.56;18.1;23;21.1;41;230;33;220
4838;20070608;80;55;68;M;54;61;0;3;-;-; ;M;M;M;0.00;29.23;29.86;9.7;30;11.1;33;280;24;330
4838;20070609;79;50;65;M;49;57;0;0;-;-; ;M;M;M;0.00;29.41;30.09;1.0;13;3.7;16;290;13;300
4838;20070610;82;54;68;M;52;59;0;3;-;-; ;M;M;M;0.00;29.39;30.07;2.7;18;3.5;17;200;14;200
4838;20070611;84;57;71;M;53;60;0;6;-;-; ;M;M;M;0.00;29.46;30.13;3.4;10;4.4;17;170;13;100
4838;20070612;80;59;70;M;52;60;0;5;-;-;BR HZ;M;M;M;0.00;29.49;30.19;4.8;5;5.6;17;50;15;60
4838;20070613;84;59;72;M;54;62;0;7;-;-; ;M;M;M;0.00;29.41;30.11;5.0;6;5.5;17;80;13;70
4838;20070614;86;61;74;M;58;64;0;9;-;-; ;M;M;M;0.00;29.35;30.04;3.8;5;4.3;14;60;12;50
4838;20070615;90;62;76;M;58;65;0;11;-;-;HZ;M;M;M;0.00;29.32;30.01;2.8;8;3.8;15;60;12;70
4838;20070616;93;64;79;M;61;68;0;14;-;-;HZ;M;M;M;0.00;29.31;29.98;3.7;30;4.4;22;290;17;310
4838;20070617;89;68;79;M;65;69;0;14;-;-;HZ;M;M;M;0.00;29.26;29.96;3.1;12;3.8;14;130;10;130
4838;20070618;91;70;81;M;65;70;0;16;-;-;TSRA RA HZ;M;M;M;0.24;29.15;29.84;12.8;20;13.7;39;200;32;200
4838;20070619;80;64;72;M;54;62;0;7;-;-;RA BR;M;M;M;0.21;29.29;29.95;10.2;29;10.8;28;290;21;290
4838;20070620;84;59;72;M;52;62;0;7;-;-; ;M;M;M;0.00;29.43;30.11;5.2;27;6.5;21;320;17;310
4838;20070621;76;59;68;M;51;59;0;3;-;-;RA;M;M;M;0.08;29.41;30.09;4.0;3;8.7;22;50;17;50
4838;20070622;71;60;66;M;52;58;0;1;-;-;RA;M;M;M;0.05;29.38;30.09;5.0;6;6.4;17;70;15;70
4838;20070623;67;63;65;M;58;61;0;0;-;-;RA;M;M;M;  T;29.28;29.98;4.8;14;5.6;15;130;13;120
4838;20070624;75;62;69;M;62;64;0;4;-;-;BR HZ;M;M;M;0.00;29.31;29.99;4.4;9;5.4;14;80;10;70
4838;20070625;85;64;75;M;67;69;0;10;-;-;BR HZ;M;M;M;0.00;29.41;30.09;2.9;10;3.8;15;120;13;60
4838;20070626;92;76;M;M;;;M;M;-;-;BR HZ;M;M;M;0.16;M;M;M;M;M;20;190;15;190
4838;20070627;92;73;83;M;70;73;0;18;-;-;TSRA BR HZ VCTS;M;M;M;0.25;29.33;30.02;5.7;23;6.7;29;310;21;310
4838;20070628;75;56;66;M;55;60;0;1;-;-; ;M;M;M;0.00;29.44;30.11;10.1;1;10.5;25;40;18;20
4838;20070629;69;55;62;M;55;58;3;0;-;-; ;M;M;M;0.00;29.46;30.15;5.8;2;6.4;17;20;13;20
4838;20070630;76;50;63;M;48;56;2;0;-;-;BR;M;M;M;0.00;29.46;30.14;3.8;4;4.3;15;30;10;40
14819;20070601;86;67;77;M;63;67;0;12;-;-;TSRA BR HZ;M;M;M;0.21;29.25;29.90;4.7;16;5.8;20;140;17;90
14819;20070602;81;68;75;M;62;67;0;10;-;-;RA BR;M;M;M;  T;29.10;29.76;7.5;21;8.2;25;240;21;240
14819;20070603;77;64;71;M;60;64;0;6;-;-;RA BR HZ VCTS;M;M;M;0.32;28.87;29.54;4.9;24;7.2;25;250;21;270
14819;20070604;72;56;64;M;57;60;1;0;-;-;RA BR;M;M;M;0.31;28.88;29.51;7.9;30;10.1;26;320;22;320
14819;20070605;63;51;57;M;47;52;8;0;-;-;RA BR;M;M;M;0.27;29.16;29.78;6.2;3;8.1;20;20;18;10
14819;20070606;73;48;61;M;47;55;4;0;-;-;RA;M;M;M;  T;29.13;29.82;9.6;15;10.6;28;160;22;160
14819;20070607;92;71;82;M;61;68;0;17;-;-; ;M;M;M;0.00;28.91;29.55;20.3;19;20.7;45;180;32;190
14819;20070608;81;63;72;M;54;62;0;7;-;-; ;M;M;M;0.00;29.24;29.83;9.3;26;12.4;32;230;26;240
14819;20070609;79;57;68;M;49;58;0;3;-;-; ;M;M;M;0.00;29.42;30.05;2.4;19;4.7;18;260;15;240
14819;20070610;81;61;71;M;50;60;0;6;-;-; ;M;M;M;0.00;29.39;30.04;4.6;16;5.8;17;150;14;170
14819;20070611;85;65;75;M;51;61;0;10;-;-; ;M;M;M;0.00;29.47;30.09;6.6;9;8.4;18;80;15;70
14819;20070612;82;66;74;M;51;61;0;9;-;-; ;M;M;M;0.00;29.49;30.14;9.4;5;10.0;21;70;17;50
14819;20070613;86;68;77;M;53;62;0;12;-;-; ;M;M;M;0.00;M;M;7.0;5;M;18;80;16;50
14819;20070614;89;68;79;M;54;63;0;14;-;-; ;M;M;M;0.00;29.36;29.99;5.9;7;6.4;20;70;16;70
14819;20070615;89;67;78;M;56;65;0;13;-;-; ;M;M;M;0.00;29.34;29.97;3.8;9;4.1;23;70;15;90
14819;20070616;92;68;80;M;61;68;0;15;-;-;HZ;M;M;M;  T;29.33;29.96;2.1;22;6.1;22;280;15;310
14819;20070617;91;71;81;M;65;70;0;16;-;-;HZ;M;M;M;0.16;29.28;29.93;4.0;11;6.1;39;240;26;240
